,Date,Time,TxnCode,OfficeID,Country,Origin,Destination,RoundTrip,NbSegments,Seg1Departure,Seg1Arrival,Seg1Date,Seg1Carrier,Seg1BookingCode,Seg2Departure,Seg2Arrival,Seg2Date,Seg2Carrier,Seg2BookingCode,Seg3Departure,Seg3Arrival,Seg3Date,Seg3Carrier,Seg3BookingCode,Seg4Departure,Seg4Arrival,Seg4Date,Seg4Carrier,Seg4BookingCode,Seg5Departure,Seg5Arrival,Seg5Date,Seg5Carrier,Seg5BookingCode,Seg6Departure,Seg6Arrival,Seg6Date,Seg6Carrier,Seg6BookingCode,From,IsPublishedForNeg,IsFromInternet,IsFromVista,TerminalID,InternetOffice,booked
15904,2013-01-16,06:54:52,FCP,6ec95b5d47a8864fb45dd8c2265b4462,AU,BNE,SYD,0.0,1.0,BNE,SYD,2013-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,SYD,1.0
15907,2013-01-16,08:50:58,FCP,3565e31495ecfd46fa018339d20382b1,SA,JED,RUH,0.0,1.0,JED,RUH,2013-01-25,KP,,,,,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,JED,1.0
15911,2013-01-16,23:18:26,FXA,4d9d7bafa1feadf0f392bebb1eecbcce,PH,MNL,LHR,1.0,4.0,MNL,HKG,2013-01-22,UK,Y,HKG,LHR,2013-01-23,MI,F,LHR,HKG,2013-02-05,MI,F,HKG,MNL,2013-02-06,MI,F,,,,,,,,,,,1ASI,0,0,0,f5e9d31232274a3ae5161dcf7aff614c,MNL,1.0
15914,2013-01-16,13:27:12,MTP,0632d0675e69cac2473475b2261fc4b9,CA,YYZ,PEK,1.0,2.0,YYZ,PEK,2013-02-21,,,PEK,YYZ,2013-03-04,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,YTO,1.0
15918,2013-01-16,10:12:24,FQD,04aafe13795233a4a8c55ed644011e6c,IT,ZRH,NRT,1.0,2.0,ZRH,NRT,2013-08-05,,,NRT,ZRH,2013-08-05,,,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,089d9f618302216ba300b4306bbd89d9,MIL,1.0
15921,2013-01-16,17:35:31,MPT,d37c40aef47a99e9e12e563990a29085,CA,YUL,FLL,1.0,2.0,YUL,FLL,2013-02-26,,,FLL,YUL,2013-03-09,,,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,d41d8cd98f00b204e9800998ecf8427e,YTO,1.0
15924,2013-01-16,19:47:50,CCP,3565e31495ecfd46fa018339d20382b1,SA,JED,AHB,0.0,1.0,JED,AHB,2013-01-19,KP,,,,,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,JED,1.0
15926,2013-01-16,17:41:41,MPT,7f45b8c2329242b93ccfcc1082036bc3,IT,CTA,FCO,0.0,1.0,CTA,FCO,2013-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,ROM,1.0
15929,2013-01-16,11:46:52,MPT,6d17362e149b6464b8ac2aac8c4bbd9a,IN,DEL,MEL,0.0,1.0,DEL,MEL,2013-02-11,MK,,,,,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,DEL,1.0
15931,2013-01-16,07:48:53,FFP,8e26311e3f5deaceabc65406c823f84d,DE,DUS,VIE,1.0,2.0,DUS,VIE,2013-01-22,7V,,VIE,DUS,2013-01-25,7V,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,BER,1.0
15943,2013-01-16,10:16:02,MPT,d03a30f66f773a65aad66e7bafd1110f,GR,OPO,FNC,1.0,2.0,OPO,FNC,2013-01-19,,,FNC,OPO,2013-01-20,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,ATH,1.0
15944,2013-01-16,14:56:09,FQD,a3c348204f13ad2b4ef14d7329e60692,DE,FRA,PVG,1.0,2.0,FRA,PVG,2013-04-15,,,PVG,FRA,2013-04-15,,,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,3fcccb6eb99c1df173894d3ec3ab038b,FRA,1.0
15952,2013-01-16,07:40:49,MPC,074543ae7a58f4f4c0833d023b2c0db7,CH,ZRH,MIA,1.0,2.0,ZRH,MIA,2013-02-11,,,MIA,ZRH,2013-02-25,,,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,d41d8cd98f00b204e9800998ecf8427e,GVA,1.0
15962,2013-01-16,12:22:40,MPT,02178c0caabadcac9c7df7a8271f785e,US,JFK,CDG,1.0,2.0,JFK,CDG,2013-04-03,,,CDG,JFK,2013-04-09,,,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,d41d8cd98f00b204e9800998ecf8427e,NYC,1.0
15965,2013-01-16,07:07:43,MPT,eedd08a566c0cf659b6e77b96ab70e05,IN,CCJ,RUH,0.0,1.0,CCJ,RUH,2013-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,BOM,1.0
15983,2013-01-16,01:09:31,MPT,7bccd1a134d671fd69258d4fa6a006d2,DE,VIE,AMS,1.0,2.0,VIE,AMS,2013-03-14,,,AMS,VIE,2013-03-19,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,BER,1.0
15997,2013-01-16,08:06:06,FXP,72dd23eed1b272c8ca0ccbb5e0f7fd12,IL,JED,CAI,0.0,1.0,JED,CAI,2013-01-19,WD,C,,,,,,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,29bc89dc171af8dacb29a3bb3796ab5d,TLV,1.0
15999,2013-01-16,12:41:40,FFP,99a5fa66a00828db9727aea7ebc6ae74,DE,ZRH,DUS,1.0,2.0,ZRH,DUS,2013-03-17,7V,,DUS,ZRH,2013-03-17,7V,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,BER,1.0
16003,2013-01-17,12:21:36,MPT,788e52ddaa551032c69ba37cc316233f,FR,BKK,FRA,1.0,2.0,BKK,FRA,2013-04-05,,,FRA,BKK,2013-04-15,,,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,d41d8cd98f00b204e9800998ecf8427e,PAR,1.0
16004,2013-01-17,20:38:16,MPT,03a4fc8b3cd31d6d5b5d7b86d20f4af8,DE,PMO,FCO,1.0,2.0,PMO,FCO,2013-03-04,,,FCO,PMO,2013-03-09,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,LEJ,1.0
16009,2013-01-17,01:04:34,MPC,440642a9bdaeb6287f826cefd73255e8,US,SYD,DEL,1.0,2.0,SYD,DEL,2013-12-11,,,DEL,SYD,2014-01-07,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,HPN,1.0
16014,2013-01-17,16:09:50,MTP,236cbf458f79dbb9d5e9c9430438c3db,US,ORD,BOM,1.0,2.0,ORD,BOM,2013-03-21,,,BOM,ORD,2013-03-31,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,HPN,1.0
16015,2013-01-17,10:40:20,FXX,1b30be71282f56bcf0cbb5982bfb2ec5,ES,MAD,LIS,1.0,2.0,MAD,LIS,2013-01-28,FI,C,LIS,MAD,2013-01-28,FI,C,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,8eaff1a76e90fe3a682c5c344a0301fa,MAD,1.0
16021,2013-01-17,23:48:09,MPT,86173b5000dadf6506520bd7787e16cd,RU,BKK,HKG,0.0,1.0,BKK,HKG,2013-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,MOW,1.0
16022,2013-01-17,10:31:19,FXA,65fab94bc2c36dfc7abbbe3ca232708a,NL,KTM,DOH,0.0,2.0,KTM,DOH,2013-03-06,BC,C,DOH,BRU,2013-03-07,BC,C,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,47064b0364a2acd8980657dc35302748,AMS,1.0
16039,2013-01-17,21:37:05,MPC,afe6a5a568d88c74da411884ad13f06c,NL,AMS,CPT,1.0,2.0,AMS,CPT,2013-03-21,,,CPT,AMS,2013-04-05,,,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,d41d8cd98f00b204e9800998ecf8427e,GLZ,1.0
16052,2013-01-17,22:31:07,FXX,1dfd85d5f71dc073b003d04578f69dc1,PT,LAD,LIS,1.0,2.0,LAD,LIS,2013-02-21,EA,C,LIS,LAD,2013-03-11,EA,C,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,71f97eda34855cd59a2f097675aa4fa9,LIS,1.0
16055,2013-01-17,06:55:22,FFP,7fa90be582577257ca6271d9ecb55b7c,TH,BKK,KBV,1.0,2.0,BKK,KBV,2013-01-28,EQ,,KBV,BKK,2013-02-02,EQ,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,BKK,1.0
16057,2013-01-17,22:49:09,MPT,3561a60621de06ab1badc8ca55699ef3,US,PHX,LAS,1.0,2.0,PHX,LAS,2013-02-16,,,LAS,PHX,2013-02-19,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,NYC,1.0
16058,2013-01-17,19:08:27,CAL,19fd5e72553e02036b2ed0d0adf13fec,PL,WAW,SFO,1.0,2.0,WAW,SFO,2013-01-29,KM,,SFO,WAW,2013-03-01,KM,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,WAW,1.0
16061,2013-01-17,02:20:12,FXX,5a59deba021eacb7a54d813ddcb4ce2a,ZA,JNB,GBE,0.0,1.0,JNB,GBE,2013-02-04,DK,Y,,,,,,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,d318cb040f10981e83ceca650094a0f4,JNB,1.0
16071,2013-01-17,02:16:46,MPT,bcdf139f6964017885bf2bb678f3b08a,NO,SVG,FRA,1.0,2.0,SVG,FRA,2013-03-03,,,FRA,SVG,2013-03-10,,,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,d41d8cd98f00b204e9800998ecf8427e,OSL,1.0
16072,2013-01-17,18:54:17,FXP,e70a7329a9dcd2402bf3933b597d5056,HK,SIN,PEK,1.0,4.0,SIN,CAN,2013-01-28,MK,D,CAN,PEK,2013-01-28,MK,P,PEK,CAN,2013-02-04,MK,C,CAN,SIN,2013-02-04,MK,D,,,,,,,,,,,1ASI,0,0,0,d41d8cd98f00b204e9800998ecf8427e,HKG,1.0
16074,2013-01-17,16:22:41,MPT,e49bfb83b6d9e429dbe748303f69e308,US,PHL,CUN,1.0,2.0,PHL,CUN,2013-03-14,,,CUN,PHL,2013-03-18,,,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,d41d8cd98f00b204e9800998ecf8427e,IAD,1.0
16084,2013-01-17,19:06:30,MPT,50c54b52322080d2c257390f714f91bd,ES,BCN,BLQ,1.0,2.0,BCN,BLQ,2013-01-25,,,BLQ,BCN,2013-01-25,,,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,d41d8cd98f00b204e9800998ecf8427e,MAD,1.0
16086,2013-01-17,01:30:38,FQD,1ee479f5d8e435942d95363363634aee,DE,VIE,MUC,1.0,2.0,VIE,MUC,2013-02-17,,,MUC,VIE,2013-02-17,,,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,5c5cf698aa6879f77b45b27a5b9443e4,FRA,1.0
16087,2013-01-17,22:22:38,MTP,e08742a93e1d3d9e679723625a3484fc,DE,FRA,IST,1.0,2.0,FRA,IST,2013-07-05,,,IST,FRA,2013-07-14,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,FRA,1.0
16088,2013-01-17,14:31:41,FFP,9530f0a7e694bc9402885b4fa7e094bd,TR,FRA,ESB,1.0,2.0,FRA,ESB,2013-08-10,EU,,ESB,FRA,2013-08-28,EU,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,IST,1.0
16091,2013-01-17,20:23:29,MPT,c3b6269c21e4b20a1ded714e6a9e533c,CA,LHR,BKK,0.0,1.0,LHR,BKK,2013-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,YVR,1.0
16093,2013-01-17,09:11:09,CAL,3565e31495ecfd46fa018339d20382b1,SA,RUH,DXB,1.0,2.0,RUH,DXB,2013-01-23,KP,,DXB,RUH,2013-01-25,KP,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,JED,1.0
16100,2013-01-17,10:02:37,CAL,3565e31495ecfd46fa018339d20382b1,SA,MED,CDG,1.0,2.0,MED,CDG,2013-08-21,KP,,FRA,MED,2013-09-11,KP,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,JED,1.0
16106,2013-01-17,14:01:47,FXP,8e26311e3f5deaceabc65406c823f84d,DE,DUS,PMI,1.0,2.0,DUS,PMI,2013-09-28,KL,Y,PMI,DUS,2013-10-12,KL,Y,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,df2dc6985662f87dbe40d54fbde2409b,BER,1.0
16108,2013-01-17,20:16:31,MPT,b927c9d7f26be67222348993774e029d,DE,FRA,SFO,1.0,2.0,FRA,SFO,2013-02-17,,,SFO,FRA,2013-03-07,,,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,d41d8cd98f00b204e9800998ecf8427e,CGN,1.0
16111,2013-01-17,02:25:20,MPT,440642a9bdaeb6287f826cefd73255e8,US,SFO,DEL,1.0,2.0,SFO,DEL,2013-02-05,DX,,DEL,SFO,2013-03-11,DX,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,HPN,1.0
16126,2013-01-17,06:55:32,MPT,489153b50ba6de99e1dd44d92db2c06b,ES,AMS,MUC,1.0,2.0,AMS,MUC,2013-04-19,,,MUC,AMS,2013-05-03,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,BCN,1.0
16135,2013-01-17,20:25:45,MPT,61880d6e0141d7ec9659ef77e29aab01,DK,CPH,BUD,1.0,2.0,CPH,BUD,2013-07-23,,,BUD,CPH,2013-07-31,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,CPH,1.0
16137,2013-01-17,08:22:55,FCP,4279a4ab3b97dce86fcf13195124f9cf,US,DXB,JED,0.0,1.0,DXB,JED,2013-01-21,KP,,,,,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,WAS,1.0
16145,2013-01-17,08:25:26,MPT,0486ac8d6ac951832a2dd257971b03f8,ZA,JNB,CPT,1.0,2.0,JNB,CPT,2013-02-20,DK,,CPT,JNB,2013-02-25,DK,,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,d41d8cd98f00b204e9800998ecf8427e,CPT,1.0
16148,2013-01-17,09:52:19,CCP,3565e31495ecfd46fa018339d20382b1,SA,AHB,JED,0.0,1.0,AHB,JED,2013-01-21,KP,,,,,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,JED,1.0
16167,2013-01-17,08:44:14,MPT,4d9b402b8d1ec54ee18899df03fb245e,IN,DEL,HYD,1.0,2.0,DEL,HYD,2013-02-16,,,HYD,DEL,2013-02-17,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,AMD,1.0
16169,2013-01-17,02:39:47,MTP,0632d0675e69cac2473475b2261fc4b9,CA,BOS,LHR,0.0,1.0,BOS,LHR,2013-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,YTO,1.0
16182,2013-01-17,13:06:18,FXA,579e19d7276dbcafc695157ec83ffff4,GB,LHR,BOM,1.0,2.0,LHR,BOM,2013-03-15,GD,J,BOM,LHR,2013-04-14,GD,J,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,08873a97e4b1b7699b16c858247ce1a5,LON,1.0
16190,2013-01-17,21:04:20,MPT,624d8c3ac0b3a7ca03e3c167e0f48327,DE,FRA,DPS,1.0,2.0,FRA,DPS,2013-06-20,XK,,DPS,FRA,2013-07-11,XK,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,FRA,1.0
16192,2013-01-17,15:40:04,FQD,71d211ff2c4cff41fde2f98eee48e4a5,TH,BKK,HDY,1.0,2.0,BKK,HDY,2013-01-30,,,HDY,BKK,2013-01-30,,,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,d41d8cd98f00b204e9800998ecf8427e,BKK,1.0
16202,2013-01-17,20:40:04,FXP,266a430550a2a2bf1ceb2e5b09f1991c,HK,HKG,SYD,0.0,2.0,HKG,SYD,2013-03-23,BP,K,SYD,MEL,2013-03-24,BP,K,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,d41d8cd98f00b204e9800998ecf8427e,HKG,1.0
16203,2013-01-17,16:48:23,FCP,1722290df1e162d326280c5d4a82657b,CO,BAQ,BOG,0.0,1.0,BAQ,BOG,2013-02-02,KG,,,,,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,BOG,1.0
16221,2013-01-17,21:01:03,MTP,236cbf458f79dbb9d5e9c9430438c3db,US,SFO,PVG,1.0,2.0,SFO,PVG,2013-03-30,,,PVG,SFO,2013-04-21,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,HPN,1.0
16229,2013-01-17,04:05:59,MPT,cf818ddafad144a83967003057e64033,IN,MAA,CCU,0.0,1.0,MAA,CCU,2013-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,BOM,1.0
16237,2013-01-17,09:15:21,FXX,c5288b26a968eb8f72a57d9d023e4b0c,JP,NRT,HNL,0.0,2.0,NRT,HNL,2013-02-15,TV,J,HNL,HND,2013-02-18,TV,J,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,11923791457557d975530d1d5b537a6b,TYO,1.0
16241,2013-01-17,04:23:30,MPT,b478dbed931f3c13ed659ae69b1b7dfb,US,DFW,DEL,1.0,2.0,DFW,DEL,2013-03-11,KK,,DEL,DFW,2013-04-02,KK,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,SFO,1.0
16243,2013-01-17,15:06:26,MTP,236cbf458f79dbb9d5e9c9430438c3db,US,GYE,MIA,0.0,1.0,GYE,MIA,2013-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,HPN,1.0
16252,2013-01-17,22:03:36,MTP,236cbf458f79dbb9d5e9c9430438c3db,US,EWR,BOM,1.0,2.0,EWR,BOM,2013-06-05,,,BOM,EWR,2013-07-22,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,HPN,1.0
16255,2013-01-17,19:49:16,FFP,8e26311e3f5deaceabc65406c823f84d,DE,DUS,PMI,1.0,2.0,DUS,PMI,2013-08-04,7V,,PMI,DUS,2013-08-14,7V,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,BER,1.0
16269,2013-01-17,13:44:57,FXB,17b13ba2332fa7549c9a5dc2c37dbc50,JO,AMM,CAI,1.0,2.0,AMM,CAI,2013-01-19,CT,J,CAI,AMM,2013-02-18,CT,J,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,2ef97928180dca82b8b526df7cd6ec36,AMM,1.0
16270,2013-01-17,06:52:47,MPT,3561a60621de06ab1badc8ca55699ef3,US,SIN,BKK,1.0,2.0,SIN,BKK,2013-03-01,,,BKK,SIN,2013-03-04,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,NYC,1.0
16282,2013-01-17,19:30:17,MPT,9aa037e8d4135205e54688c113ed7e80,DE,MUC,PMI,1.0,2.0,MUC,PMI,2013-05-25,,,PMI,MUC,2013-06-01,,,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,d41d8cd98f00b204e9800998ecf8427e,BER,1.0
16283,2013-01-17,21:29:18,MPT,63d35a15724f95939e6d0dd0ca39be16,DE,GVA,IST,1.0,2.0,GVA,IST,2013-04-27,,,IST,GVA,2013-04-28,,,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,d41d8cd98f00b204e9800998ecf8427e,BRE,1.0
16286,2013-01-17,12:07:50,FXA,dcf7680c603a255e5ddf2a0a932fd93a,DE,FRA,VIE,1.0,2.0,FRA,VIE,2013-01-31,VR,J,VIE,FRA,2013-01-31,YD,J,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,d41d8cd98f00b204e9800998ecf8427e,FRA,1.0
16288,2013-01-17,22:17:59,MPT,50c54b52322080d2c257390f714f91bd,ES,MAD,DKR,0.0,1.0,MAD,DKR,2013-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,d41d8cd98f00b204e9800998ecf8427e,MAD,1.0
16293,2013-01-17,05:03:48,MPT,5ee4e5b44bd3d1dc5ab6449dcce61f8c,ES,MAD,BCN,0.0,1.0,MAD,BCN,2013-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,d41d8cd98f00b204e9800998ecf8427e,TCI,1.0
16296,2013-01-17,18:34:58,MPT,50c54b52322080d2c257390f714f91bd,ES,BRU,MAD,0.0,1.0,BRU,MAD,2013-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,d41d8cd98f00b204e9800998ecf8427e,MAD,1.0
16315,2013-01-17,16:39:30,MPT,489153b50ba6de99e1dd44d92db2c06b,ES,BCN,MAD,1.0,2.0,BCN,MAD,2013-01-28,,,MAD,BCN,2013-04-13,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,BCN,1.0
16332,2013-01-17,13:20:34,FFP,1a0fa0ade30349141cabbbf86b7899d7,GB,LHR,PER,1.0,2.0,LHR,PER,2013-01-29,,,PER,LHR,2013-03-07,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,LON,1.0
16333,2013-01-17,21:11:41,FXP,266a430550a2a2bf1ceb2e5b09f1991c,HK,HKG,SYD,0.0,1.0,HKG,SYD,2013-03-26,BP,K,,,,,,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,d41d8cd98f00b204e9800998ecf8427e,HKG,1.0
16340,2013-01-17,00:50:03,MPT,3561a60621de06ab1badc8ca55699ef3,US,FRA,MAD,1.0,2.0,FRA,MAD,2013-06-13,,,MAD,FRA,2013-06-28,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,NYC,1.0
16350,2013-01-17,15:07:01,FXP,739433d0c9ea99559a03f40d78d12d0e,BR,FOR,GRU,0.0,1.0,FOR,GRU,2013-03-17,TT,T,,,,,,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,d41d8cd98f00b204e9800998ecf8427e,SAO,1.0
16358,2013-01-17,12:10:38,MPT,1aed5e3e24c27e27a9863fa275517643,US,ICN,LAX,1.0,2.0,ICN,LAX,2013-07-29,,,LAX,ICN,2013-08-07,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,LAX,1.0
16362,2013-01-17,10:23:04,CAL,74d4117c29f852be6b92d6ebbf0fcf6b,QA,DOH,BAH,1.0,2.0,DOH,BAH,2013-01-19,JJ,,BAH,DOH,2013-01-19,JJ,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,DOH,1.0
16369,2013-01-17,21:56:54,MPT,440642a9bdaeb6287f826cefd73255e8,US,LAX,MNL,1.0,2.0,LAX,MNL,2013-02-18,MK,,MNL,LAX,2013-03-25,MK,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,HPN,1.0
16381,2013-01-17,11:10:37,MTP,e08742a93e1d3d9e679723625a3484fc,DE,DUS,TXL,1.0,2.0,DUS,TXL,2013-05-11,,,TXL,DUS,2013-05-17,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,FRA,1.0
16385,2013-01-17,22:18:21,MPT,b695299cc14ddcd1e31f1c922b3e258c,US,ORD,LHR,1.0,2.0,ORD,LHR,2013-05-01,VI,,LHR,ORD,2013-05-18,VI,,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,d41d8cd98f00b204e9800998ecf8427e,SJC,1.0
16389,2013-01-17,22:35:40,MTP,236cbf458f79dbb9d5e9c9430438c3db,US,JFK,LHR,1.0,2.0,JFK,LHR,2013-01-31,,,LHR,JFK,2013-02-07,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,HPN,1.0
16399,2013-01-17,04:52:34,FXX,504254aba88db9b6c199a92042bb6995,IN,SIN,DEL,1.0,2.0,SIN,DEL,2013-01-18,4H,C,DEL,SIN,2013-01-20,4H,C,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,00b124c3a348440fceccba86bcff4f4c,BOM,1.0
16409,2013-01-17,00:35:33,FXP,fb2b658f06f4b60e086c73591c8245e9,KR,ICN,LAX,0.0,1.0,ICN,LAX,2013-01-26,EQ,B,,,,,,,,,,,,,,,,,,,,,,,,,,KE0FQ,0,0,0,cd8d5260c8131ca7aeea5d41796d1a0a,SEL,1.0
16421,2013-01-17,13:07:33,MPT,03a4fc8b3cd31d6d5b5d7b86d20f4af8,DE,ZRH,HAM,1.0,2.0,ZRH,HAM,2013-08-12,,,HAM,ZRH,2013-08-23,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,LEJ,1.0
16423,2013-01-17,20:40:47,MPT,0bda63f1f542daa78264df28c95fbb6d,NL,FRA,HKG,1.0,2.0,FRA,HKG,2013-03-20,,,HKG,FRA,2013-04-05,,,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,d41d8cd98f00b204e9800998ecf8427e,AMS,1.0
16424,2013-01-17,12:43:37,FQD,187408777494cfe2f11209c461e6bea5,DO,MAD,SDQ,1.0,2.0,MAD,SDQ,,,,SDQ,MAD,,,,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,0126234dcb0b96eed39b077e82f14900,SDQ,1.0
